Name,NACA 23015
Chord(mm),114
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
114.000000,0.182400
108.300000,1.276800
102.600000,2.325600
91.200000,4.252200
79.800000,5.985000
68.400000,7.535400
57.000000,8.823600
45.600000,9.792600
34.200000,10.317000
28.500000,10.351200
22.800000,10.168800
17.100000,9.712800
11.400000,8.709600
8.550000,7.866000
5.700000,6.714600
2.850000,5.061600
1.425000,3.807600
0.000000,0.000000
1.425000,-1.755600
2.850000,-2.565000
5.700000,-3.465600
8.550000,-4.115400
11.400000,-4.662600
17.100000,-5.517600
22.800000,-6.167400
28.500000,-6.589200
34.200000,-6.794400
45.600000,-6.748800
57.000000,-6.270000
68.400000,-5.483400
79.800000,-4.457400
91.200000,-3.226200
102.600000,-1.812600
108.300000,-1.026000
114.000000,-0.182400
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.425000,1.026000
2.850000,1.248300
5.700000,1.624500
8.550000,1.875300
11.400000,2.023500
17.100000,2.097600
22.800000,2.000700
28.500000,1.881000
34.200000,1.761300
45.600000,1.521900
57.000000,1.276800
68.400000,1.026000
79.800000,0.763800
91.200000,0.513000
102.600000,0.256500
108.300000,0.125400
114.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
114.000000,0.000000
