	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	4.3677e+008	4.3677e+008	4.3677e+008	
2	2.	3.8878e+008	3.8878e+008	3.8878e+008	
3	3.	3.4078e+008	3.4078e+008	3.4078e+008	
4	4.	2.9278e+008	2.9278e+008	2.9278e+008	
5	5.	2.4479e+008	2.4479e+008	2.4479e+008	
6	6.	1.9679e+008	1.9679e+008	1.9679e+008	
7	7.	1.4879e+008	1.4879e+008	1.4879e+008	
8	8.	1.0079e+008	1.0079e+008	1.0079e+008	
9	9.	5.2797e+007	5.2797e+007	5.2797e+007	
10	10.	4.7997e+006	4.7997e+006	4.7997e+006	
11	11.	-4.3197e+007	-4.3197e+007	-4.3197e+007	
12	12.	-9.1194e+007	-9.1194e+007	-9.1194e+007	
13	13.	-1.3919e+008	-1.3919e+008	-1.3919e+008	
14	14.	-1.8719e+008	-1.8719e+008	-1.8719e+008	
15	15.	-2.3519e+008	-2.3519e+008	-2.3519e+008	
16	16.	-2.8318e+008	-2.8318e+008	-2.8318e+008	
17	17.	-3.3118e+008	-3.3118e+008	-3.3118e+008	
18	18.	-3.7918e+008	-3.7918e+008	-3.7918e+008	
19	19.	-4.2717e+008	-4.2717e+008	-4.2717e+008	
20	20.	-4.7517e+008	-4.7517e+008	-4.7517e+008	
21	21.	-5.2317e+008	-5.2317e+008	-5.2317e+008	
