	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	4.5708e+008	4.5708e+008	4.5708e+008	
2	2.	4.0685e+008	4.0685e+008	4.0685e+008	
3	3.	3.5663e+008	3.5663e+008	3.5663e+008	
4	4.	3.064e+008	3.064e+008	3.064e+008	
5	5.	2.5617e+008	2.5617e+008	2.5617e+008	
6	6.	2.0594e+008	2.0594e+008	2.0594e+008	
7	7.	1.5571e+008	1.5571e+008	1.5571e+008	
8	8.	1.0548e+008	1.0548e+008	1.0548e+008	
9	9.	5.5252e+007	5.5252e+007	5.5252e+007	
10	10.	5.0229e+006	5.0229e+006	5.0229e+006	
11	11.	-4.5206e+007	-4.5206e+007	-4.5206e+007	
12	12.	-9.5435e+007	-9.5435e+007	-9.5435e+007	
13	13.	-1.4566e+008	-1.4566e+008	-1.4566e+008	
14	14.	-1.9589e+008	-1.9589e+008	-1.9589e+008	
15	15.	-2.4612e+008	-2.4612e+008	-2.4612e+008	
16	16.	-2.9635e+008	-2.9635e+008	-2.9635e+008	
17	17.	-3.4658e+008	-3.4658e+008	-3.4658e+008	
18	18.	-3.9681e+008	-3.9681e+008	-3.9681e+008	
19	19.	-4.4704e+008	-4.4704e+008	-4.4704e+008	
20	20.	-4.9727e+008	-4.9727e+008	-4.9727e+008	
21	21.	-5.475e+008	-5.475e+008	-5.475e+008	
