	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	4.0683e+008	4.0693e+008	4.0688e+008	
2	2.	3.566e+008	3.5669e+008	3.5665e+008	
3	3.	3.0638e+008	3.0645e+008	3.0642e+008	
4	4.	2.5615e+008	2.5622e+008	2.5618e+008	
5	5.	2.0593e+008	2.0598e+008	2.0595e+008	
6	6.	1.557e+008	1.5574e+008	1.5572e+008	
7	7.	1.0547e+008	1.055e+008	1.0549e+008	
8	8.	5.5248e+007	5.5262e+007	5.5255e+007	
9	9.	5.0226e+006	5.0238e+006	5.0232e+006	
10	10.	-4.5214e+007	-4.5203e+007	-4.5209e+007	
11	11.	-9.5453e+007	-9.5429e+007	-9.5441e+007	
12	12.	-1.4569e+008	-1.4565e+008	-1.4567e+008	
13	13.	-1.9593e+008	-1.9588e+008	-1.959e+008	
14	14.	-2.4617e+008	-2.4611e+008	-2.4614e+008	
15	15.	-2.9641e+008	-2.9633e+008	-2.9637e+008	
16	16.	-3.4664e+008	-3.4656e+008	-3.466e+008	
17	17.	-3.9688e+008	-3.9678e+008	-3.9683e+008	
18	18.	-4.4712e+008	-4.4701e+008	-4.4706e+008	
19	19.	-4.9736e+008	-4.9723e+008	-4.973e+008	
20	20.	-5.476e+008	-5.4746e+008	-5.4753e+008	
