	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	-5.0232e+007	-5.0232e+007	-5.0232e+007	
2	2.	-1.0046e+008	-1.0046e+008	-1.0046e+008	
3	3.	-1.507e+008	-1.507e+008	-1.507e+008	
4	4.	-2.0093e+008	-2.0093e+008	-2.0093e+008	
5	5.	-2.5116e+008	-2.5116e+008	-2.5116e+008	
6	6.	-3.0139e+008	-3.0139e+008	-3.0139e+008	
7	7.	-3.5162e+008	-3.5162e+008	-3.5162e+008	
8	8.	-4.0186e+008	-4.0185e+008	-4.0186e+008	
9	9.	-4.5209e+008	-4.5209e+008	-4.5209e+008	
10	10.	-5.0232e+008	-5.0232e+008	-5.0232e+008	
11	11.	-5.5255e+008	-5.5255e+008	-5.5255e+008	
12	12.	-6.0279e+008	-6.0278e+008	-6.0278e+008	
13	13.	-6.5302e+008	-6.5301e+008	-6.5302e+008	
14	14.	-7.0325e+008	-7.0325e+008	-7.0325e+008	
15	15.	-7.5348e+008	-7.5348e+008	-7.5348e+008	
16	16.	-8.0371e+008	-8.0371e+008	-8.0371e+008	
17	17.	-8.5395e+008	-8.5394e+008	-8.5394e+008	
18	18.	-9.0418e+008	-9.0417e+008	-9.0418e+008	
19	19.	-9.5441e+008	-9.5441e+008	-9.5441e+008	
20	20.	-1.0046e+009	-1.0046e+009	-1.0046e+009	
