	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	1.1273e-003	1.1543e-003	1.1408e-003	
2	2.	1.0034e-003	1.0275e-003	1.0154e-003	
3	3.	8.7953e-004	9.0064e-004	8.9008e-004	
4	4.	7.5565e-004	7.7379e-004	7.6472e-004	
5	5.	6.3177e-004	6.4694e-004	6.3936e-004	
6	6.	5.0789e-004	5.2009e-004	5.1399e-004	
7	7.	3.8402e-004	3.9324e-004	3.8863e-004	
8	8.	2.6014e-004	2.6639e-004	2.6326e-004	
9	9.	1.3626e-004	1.3954e-004	1.379e-004	
10	10.	1.2388e-005	1.2685e-005	1.2536e-005	
11	11.	1.1149e-004	1.1417e-004	1.1283e-004	
12	12.	2.3537e-004	2.4102e-004	2.3819e-004	
13	13.	3.5924e-004	3.6787e-004	3.6355e-004	
14	14.	4.8312e-004	4.9472e-004	4.8892e-004	
15	15.	6.07e-004	6.2157e-004	6.1428e-004	
16	16.	7.3087e-004	7.4842e-004	7.3965e-004	
17	17.	8.5475e-004	8.7527e-004	8.6501e-004	
18	18.	9.7863e-004	1.0021e-003	9.9037e-004	
19	19.	1.1025e-003	1.129e-003	1.1157e-003	
20	20.	1.2264e-003	1.2558e-003	1.2411e-003	
21	21.	1.3503e-003	1.3827e-003	1.3665e-003	
