	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	4.368e+008	4.368e+008	4.368e+008	
2	2.	3.888e+008	3.888e+008	3.888e+008	
3	3.	3.408e+008	3.408e+008	3.408e+008	
4	4.	2.928e+008	2.928e+008	2.928e+008	
5	5.	2.448e+008	2.448e+008	2.448e+008	
6	6.	1.968e+008	1.968e+008	1.968e+008	
7	7.	1.488e+008	1.488e+008	1.488e+008	
8	8.	1.008e+008	1.008e+008	1.008e+008	
9	9.	5.28e+007	5.28e+007	5.28e+007	
10	10.	4.8e+006	4.8e+006	4.8e+006	
11	11.	-4.32e+007	-4.32e+007	-4.32e+007	
12	12.	-9.12e+007	-9.12e+007	-9.12e+007	
13	13.	-1.392e+008	-1.392e+008	-1.392e+008	
14	14.	-1.872e+008	-1.872e+008	-1.872e+008	
15	15.	-2.352e+008	-2.352e+008	-2.352e+008	
16	16.	-2.832e+008	-2.832e+008	-2.832e+008	
17	17.	-3.312e+008	-3.312e+008	-3.312e+008	
18	18.	-3.792e+008	-3.792e+008	-3.792e+008	
19	19.	-4.272e+008	-4.272e+008	-4.272e+008	
20	20.	-4.752e+008	-4.752e+008	-4.752e+008	
21	21.	-5.232e+008	-5.232e+008	-5.232e+008	
