	Time [s]	Minimum [N]	Maximum [N]	
1	1.	9.3455e+006	9.3455e+006	
2	2.	8.1917e+006	8.1917e+006	
3	3.	7.0379e+006	7.0379e+006	
4	4.	5.8842e+006	5.8842e+006	
5	5.	4.7304e+006	4.7304e+006	
6	6.	3.5767e+006	3.5767e+006	
7	7.	2.4229e+006	2.4229e+006	
8	8.	1.2691e+006	1.2691e+006	
9	9.	1.1538e+005	1.1538e+005	
10	10.	-1.0384e+006	-1.0384e+006	
11	11.	-2.1921e+006	-2.1921e+006	
12	12.	-3.3459e+006	-3.3459e+006	
13	13.	-4.4997e+006	-4.4997e+006	
14	14.	-5.6534e+006	-5.6534e+006	
15	15.	-6.8072e+006	-6.8072e+006	
16	16.	-7.9609e+006	-7.9609e+006	
17	17.	-9.1147e+006	-9.1147e+006	
18	18.	-1.0268e+007	-1.0268e+007	
19	19.	-1.1422e+007	-1.1422e+007	
20	20.	-1.2576e+007	-1.2576e+007	
