	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	-4.2711e-002	-4.2711e-002	-4.2711e-002	
2	2.	-3.8017e-002	-3.8017e-002	-3.8017e-002	
3	3.	-3.3324e-002	-3.3324e-002	-3.3324e-002	
4	4.	-2.863e-002	-2.863e-002	-2.863e-002	
5	5.	-2.3937e-002	-2.3937e-002	-2.3937e-002	
6	6.	-1.9243e-002	-1.9243e-002	-1.9243e-002	
7	7.	-1.455e-002	-1.455e-002	-1.455e-002	
8	8.	-9.8563e-003	-9.8563e-003	-9.8563e-003	
9	9.	-5.1628e-003	-5.1628e-003	-5.1628e-003	
10	10.	-4.6935e-004	-4.6935e-004	-4.6935e-004	
11	11.	4.2241e-003	4.2241e-003	4.2241e-003	
12	12.	8.9176e-003	8.9176e-003	8.9176e-003	
13	13.	1.3611e-002	1.3611e-002	1.3611e-002	
14	14.	1.8305e-002	1.8305e-002	1.8305e-002	
15	15.	2.2998e-002	2.2998e-002	2.2998e-002	
16	16.	2.7692e-002	2.7692e-002	2.7692e-002	
17	17.	3.2385e-002	3.2385e-002	3.2385e-002	
18	18.	3.7079e-002	3.7079e-002	3.7079e-002	
19	19.	4.1772e-002	4.1772e-002	4.1772e-002	
20	20.	4.6465e-002	4.6465e-002	4.6465e-002	
21	21.	5.1159e-002	5.1159e-002	5.1159e-002	
