	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	-4.2711e-002	-3.7383e-002	-4.0545e-002	
2	2.	-3.8017e-002	-3.3275e-002	-3.6089e-002	
3	3.	-3.3324e-002	-2.9167e-002	-3.1634e-002	
4	4.	-2.863e-002	-2.5059e-002	-2.7178e-002	
5	5.	-2.3937e-002	-2.0951e-002	-2.2723e-002	
6	6.	-1.9243e-002	-1.6843e-002	-1.8267e-002	
7	7.	-1.455e-002	-1.2735e-002	-1.3812e-002	
8	8.	-9.8563e-003	-8.6269e-003	-9.3564e-003	
9	9.	-5.1628e-003	-4.5189e-003	-4.901e-003	
10	10.	-4.6935e-004	-4.108e-004	-4.4554e-004	
11	11.	3.6972e-003	4.2241e-003	4.0099e-003	
12	12.	7.8053e-003	8.9176e-003	8.4653e-003	
13	13.	1.1913e-002	1.3611e-002	1.2921e-002	
14	14.	1.6021e-002	1.8305e-002	1.7376e-002	
15	15.	2.0129e-002	2.2998e-002	2.1832e-002	
16	16.	2.4237e-002	2.7692e-002	2.6287e-002	
17	17.	2.8346e-002	3.2385e-002	3.0743e-002	
18	18.	3.2454e-002	3.7079e-002	3.5198e-002	
19	19.	3.6562e-002	4.1772e-002	3.9653e-002	
20	20.	4.067e-002	4.6465e-002	4.4109e-002	
21	21.	4.4778e-002	5.1159e-002	4.8564e-002	
