	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	-1.159e-002	-1.159e-002	-1.159e-002	
2	2.	-1.0317e-002	-1.0317e-002	-1.0317e-002	
3	3.	-9.043e-003	-9.043e-003	-9.043e-003	
4	4.	-7.7693e-003	-7.7693e-003	-7.7693e-003	
5	5.	-6.4956e-003	-6.4956e-003	-6.4956e-003	
6	6.	-5.222e-003	-5.222e-003	-5.222e-003	
7	7.	-3.9483e-003	-3.9483e-003	-3.9483e-003	
8	8.	-2.6747e-003	-2.6747e-003	-2.6747e-003	
9	9.	-1.401e-003	-1.401e-003	-1.401e-003	
10	10.	-1.2737e-004	-1.2737e-004	-1.2737e-004	
11	11.	1.1463e-003	1.1463e-003	1.1463e-003	
12	12.	2.4199e-003	2.4199e-003	2.4199e-003	
13	13.	3.6936e-003	3.6936e-003	3.6936e-003	
14	14.	4.9673e-003	4.9673e-003	4.9673e-003	
15	15.	6.2409e-003	6.2409e-003	6.2409e-003	
16	16.	7.5146e-003	7.5146e-003	7.5146e-003	
17	17.	8.7882e-003	8.7882e-003	8.7882e-003	
18	18.	1.0062e-002	1.0062e-002	1.0062e-002	
19	19.	1.1336e-002	1.1336e-002	1.1336e-002	
20	20.	1.2609e-002	1.2609e-002	1.2609e-002	
21	21.	1.3883e-002	1.3883e-002	1.3883e-002	
