	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	-1.7896e-002	-7.7788e-003	-1.1639e-002	
2	2.	-1.593e-002	-6.924e-003	-1.036e-002	
3	3.	-1.3963e-002	-6.0692e-003	-9.081e-003	
4	4.	-1.1996e-002	-5.2144e-003	-7.802e-003	
5	5.	-1.003e-002	-4.3596e-003	-6.523e-003	
6	6.	-8.0631e-003	-3.5048e-003	-5.2439e-003	
7	7.	-6.0965e-003	-2.6499e-003	-3.9649e-003	
8	8.	-4.1299e-003	-1.7951e-003	-2.6859e-003	
9	9.	-2.1633e-003	-9.403e-004	-1.4069e-003	
10	10.	-1.9666e-004	-8.5482e-005	-1.279e-004	
11	11.	7.6934e-004	1.7699e-003	1.1511e-003	
12	12.	1.6242e-003	3.7366e-003	2.4301e-003	
13	13.	2.479e-003	5.7032e-003	3.7091e-003	
14	14.	3.3338e-003	7.6698e-003	4.9881e-003	
15	15.	4.1886e-003	9.6364e-003	6.2672e-003	
16	16.	5.0434e-003	1.1603e-002	7.5462e-003	
17	17.	5.8982e-003	1.357e-002	8.8252e-003	
18	18.	6.7531e-003	1.5536e-002	1.0104e-002	
19	19.	7.6079e-003	1.7503e-002	1.1383e-002	
20	20.	8.4627e-003	1.9469e-002	1.2662e-002	
21	21.	9.3175e-003	2.1436e-002	1.3941e-002	
