	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	9.7533e-003	9.7533e-003	9.7533e-003	
2	2.	8.6815e-003	8.6815e-003	8.6815e-003	
3	3.	7.6097e-003	7.6097e-003	7.6097e-003	
4	4.	6.5379e-003	6.5379e-003	6.5379e-003	
5	5.	5.4661e-003	5.4661e-003	5.4661e-003	
6	6.	4.3943e-003	4.3943e-003	4.3943e-003	
7	7.	3.3226e-003	3.3226e-003	3.3226e-003	
8	8.	2.2508e-003	2.2508e-003	2.2508e-003	
9	9.	1.179e-003	1.179e-003	1.179e-003	
10	10.	1.0718e-004	1.0718e-004	1.0718e-004	
11	11.	-9.6461e-004	-9.6461e-004	-9.6461e-004	
12	12.	-2.0364e-003	-2.0364e-003	-2.0364e-003	
13	13.	-3.1082e-003	-3.1082e-003	-3.1082e-003	
14	14.	-4.18e-003	-4.18e-003	-4.18e-003	
15	15.	-5.2518e-003	-5.2518e-003	-5.2518e-003	
16	16.	-6.3236e-003	-6.3236e-003	-6.3236e-003	
17	17.	-7.3954e-003	-7.3954e-003	-7.3954e-003	
18	18.	-8.4672e-003	-8.4672e-003	-8.4672e-003	
19	19.	-9.5389e-003	-9.5389e-003	-9.5389e-003	
20	20.	-1.0611e-002	-1.0611e-002	-1.0611e-002	
21	21.	-1.1683e-002	-1.1683e-002	-1.1683e-002	
