	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	5.1244e-003	9.7533e-003	7.996e-003	
2	2.	4.5613e-003	8.6815e-003	7.1173e-003	
3	3.	3.9982e-003	7.6097e-003	6.2386e-003	
4	4.	3.4351e-003	6.5379e-003	5.3599e-003	
5	5.	2.8719e-003	5.4661e-003	4.4813e-003	
6	6.	2.3088e-003	4.3943e-003	3.6026e-003	
7	7.	1.7457e-003	3.3226e-003	2.7239e-003	
8	8.	1.1826e-003	2.2508e-003	1.8452e-003	
9	9.	6.1944e-004	1.179e-003	9.6655e-004	
10	10.	5.6313e-005	1.0718e-004	8.7868e-005	
11	11.	-9.6461e-004	-5.0681e-004	-7.9081e-004	
12	12.	-2.0364e-003	-1.0699e-003	-1.6695e-003	
13	13.	-3.1082e-003	-1.6331e-003	-2.5482e-003	
14	14.	-4.18e-003	-2.1962e-003	-3.4268e-003	
15	15.	-5.2518e-003	-2.7593e-003	-4.3055e-003	
16	16.	-6.3236e-003	-3.3224e-003	-5.1842e-003	
17	17.	-7.3954e-003	-3.8856e-003	-6.0629e-003	
18	18.	-8.4672e-003	-4.4487e-003	-6.9416e-003	
19	19.	-9.5389e-003	-5.0118e-003	-7.8202e-003	
20	20.	-1.0611e-002	-5.575e-003	-8.6989e-003	
21	21.	-1.1683e-002	-6.1381e-003	-9.5776e-003	
