	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	-3.494e-002	-3.494e-002	-3.494e-002	
2	2.	-3.11e-002	-3.11e-002	-3.11e-002	
3	3.	-2.7261e-002	-2.7261e-002	-2.7261e-002	
4	4.	-2.3421e-002	-2.3421e-002	-2.3421e-002	
5	5.	-1.9582e-002	-1.9582e-002	-1.9582e-002	
6	6.	-1.5742e-002	-1.5742e-002	-1.5742e-002	
7	7.	-1.1903e-002	-1.1903e-002	-1.1903e-002	
8	8.	-8.063e-003	-8.063e-003	-8.063e-003	
9	9.	-4.2235e-003	-4.2235e-003	-4.2235e-003	
10	10.	-3.8395e-004	-3.8395e-004	-3.8395e-004	
11	11.	3.4556e-003	3.4556e-003	3.4556e-003	
12	12.	7.2951e-003	7.2951e-003	7.2951e-003	
13	13.	1.1135e-002	1.1135e-002	1.1135e-002	
14	14.	1.4974e-002	1.4974e-002	1.4974e-002	
15	15.	1.8814e-002	1.8814e-002	1.8814e-002	
16	16.	2.2653e-002	2.2653e-002	2.2653e-002	
17	17.	2.6493e-002	2.6493e-002	2.6493e-002	
18	18.	3.0332e-002	3.0332e-002	3.0332e-002	
19	19.	3.4172e-002	3.4172e-002	3.4172e-002	
20	20.	3.8011e-002	3.8011e-002	3.8011e-002	
21	21.	4.1851e-002	4.1851e-002	4.1851e-002	
