	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	-3.8257e-002	-2.895e-002	-3.4887e-002	
2	2.	-3.4053e-002	-2.5768e-002	-3.1053e-002	
3	3.	-2.9848e-002	-2.2587e-002	-2.722e-002	
4	4.	-2.5644e-002	-1.9406e-002	-2.3386e-002	
5	5.	-2.144e-002	-1.6225e-002	-1.9552e-002	
6	6.	-1.7236e-002	-1.3043e-002	-1.5718e-002	
7	7.	-1.3032e-002	-9.862e-003	-1.1885e-002	
8	8.	-8.8284e-003	-6.6807e-003	-8.0508e-003	
9	9.	-4.6244e-003	-3.4994e-003	-4.2171e-003	
10	10.	-4.204e-004	-3.1813e-004	-3.8337e-004	
11	11.	2.8632e-003	3.7836e-003	3.4504e-003	
12	12.	6.0445e-003	7.9876e-003	7.2841e-003	
13	13.	9.2257e-003	1.2192e-002	1.1118e-002	
14	14.	1.2407e-002	1.6396e-002	1.4952e-002	
15	15.	1.5588e-002	2.06e-002	1.8785e-002	
16	16.	1.877e-002	2.4804e-002	2.2619e-002	
17	17.	2.1951e-002	2.9008e-002	2.6453e-002	
18	18.	2.5132e-002	3.3212e-002	3.0286e-002	
19	19.	2.8314e-002	3.7416e-002	3.412e-002	
20	20.	3.1495e-002	4.162e-002	3.7954e-002	
21	21.	3.4676e-002	4.5824e-002	4.1788e-002	
