	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	5.7575e+005	3.4592e+007	1.5376e+007	
2	2.	5.1248e+005	3.0791e+007	1.3687e+007	
3	3.	4.4921e+005	2.699e+007	1.1997e+007	
4	4.	3.8594e+005	2.3188e+007	1.0307e+007	
5	5.	3.2267e+005	1.9387e+007	8.6175e+006	
6	6.	2.594e+005	1.5586e+007	6.9278e+006	
7	7.	1.9613e+005	1.1784e+007	5.2381e+006	
8	8.	1.3287e+005	7.9829e+006	3.5484e+006	
9	9.	69596	4.1815e+006	1.8587e+006	
10	10.	6326.9	3.8014e+005	1.6897e+005	
11	11.	56942	3.4212e+006	1.5207e+006	
12	12.	1.2021e+005	7.2226e+006	3.2104e+006	
13	13.	1.8348e+005	1.1024e+007	4.9001e+006	
14	14.	2.4675e+005	1.4825e+007	6.5898e+006	
15	15.	3.1002e+005	1.8627e+007	8.2795e+006	
16	16.	3.7329e+005	2.2428e+007	9.9692e+006	
17	17.	4.3656e+005	2.6229e+007	1.1659e+007	
18	18.	4.9983e+005	3.0031e+007	1.3349e+007	
19	19.	5.631e+005	3.3832e+007	1.5038e+007	
20	20.	6.2637e+005	3.7634e+007	1.6728e+007	
21	21.	6.8964e+005	4.1435e+007	1.8418e+007	
