	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	3.1497e+005	4.1252e+007	1.8352e+007	
2	2.	2.8036e+005	3.6719e+007	1.6335e+007	
3	3.	2.4575e+005	3.2185e+007	1.4318e+007	
4	4.	2.1114e+005	2.7652e+007	1.2302e+007	
5	5.	1.7652e+005	2.3119e+007	1.0285e+007	
6	6.	1.4191e+005	1.8586e+007	8.2684e+006	
7	7.	1.073e+005	1.4053e+007	6.2517e+006	
8	8.	72686	9.5196e+006	4.235e+006	
9	9.	38074	4.9865e+006	2.2184e+006	
10	10.	3461.3	4.5332e+005	2.0167e+005	
11	11.	31151	4.0798e+006	1.815e+006	
12	12.	65764	8.613e+006	3.8317e+006	
13	13.	1.0038e+005	1.3146e+007	5.8484e+006	
14	14.	1.3499e+005	1.7679e+007	7.8651e+006	
15	15.	1.696e+005	2.2213e+007	9.8818e+006	
16	16.	2.0421e+005	2.6746e+007	1.1898e+007	
17	17.	2.3883e+005	3.1279e+007	1.3915e+007	
18	18.	2.7344e+005	3.5812e+007	1.5932e+007	
19	19.	3.0805e+005	4.0345e+007	1.7948e+007	
20	20.	3.4266e+005	4.4878e+007	1.9965e+007	
21	21.	3.7728e+005	4.9412e+007	2.1982e+007	
