	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	-4.9798e+006	4.8302e+007	1.5918e+007	
2	2.	-4.4326e+006	4.2994e+007	1.4169e+007	
3	3.	-3.8853e+006	3.7686e+007	1.2419e+007	
4	4.	-3.3381e+006	3.2378e+007	1.067e+007	
5	5.	-2.7909e+006	2.707e+007	8.921e+006	
6	6.	-2.2436e+006	2.1762e+007	7.1718e+006	
7	7.	-1.6964e+006	1.6454e+007	5.4225e+006	
8	8.	-1.1492e+006	1.1147e+007	3.6733e+006	
9	9.	-6.0195e+005	5.8387e+006	1.9241e+006	
10	10.	-54723	5.3079e+005	1.7492e+005	
11	11.	-5.6324e+005	7.335e+006	1.4672e+006	
12	12.	-1.1891e+006	1.5485e+007	3.0974e+006	
13	13.	-1.8149e+006	2.3635e+007	4.7276e+006	
14	14.	-2.4407e+006	3.1785e+007	6.3578e+006	
15	15.	-3.0665e+006	3.9935e+007	7.988e+006	
16	16.	-3.6923e+006	4.8085e+007	9.6182e+006	
17	17.	-4.3181e+006	5.6235e+007	1.1248e+007	
18	18.	-4.944e+006	6.4385e+007	1.2879e+007	
19	19.	-5.5698e+006	7.2535e+007	1.4509e+007	
20	20.	-6.1956e+006	8.0685e+007	1.6139e+007	
21	21.	-6.8214e+006	8.8835e+007	1.7769e+007	
