	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	-5.9281e+006	5.7422e+007	1.9031e+007	
2	2.	-5.2766e+006	5.1112e+007	1.6939e+007	
3	3.	-4.6252e+006	4.4802e+007	1.4848e+007	
4	4.	-3.9738e+006	3.8492e+007	1.2757e+007	
5	5.	-3.3223e+006	3.2182e+007	1.0665e+007	
6	6.	-2.6709e+006	2.5872e+007	8.5742e+006	
7	7.	-2.0195e+006	1.9561e+007	6.4829e+006	
8	8.	-1.368e+006	1.3251e+007	4.3917e+006	
9	9.	-7.1658e+005	6.9412e+006	2.3004e+006	
10	10.	-65144	6.3102e+005	2.0913e+005	
11	11.	-6.8793e+005	8.7439e+006	1.7479e+006	
12	12.	-1.4523e+006	1.8459e+007	3.69e+006	
13	13.	-2.2167e+006	2.8175e+007	5.6321e+006	
14	14.	-2.981e+006	3.789e+007	7.5742e+006	
15	15.	-3.7454e+006	4.7605e+007	9.5163e+006	
16	16.	-4.5097e+006	5.7321e+007	1.1458e+007	
17	17.	-5.2741e+006	6.7036e+007	1.34e+007	
18	18.	-6.0385e+006	7.6752e+007	1.5343e+007	
19	19.	-6.8028e+006	8.6467e+007	1.7285e+007	
20	20.	-7.5672e+006	9.6182e+007	1.9227e+007	
21	21.	-8.3316e+006	1.059e+008	2.1169e+007	
