	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	4.2419e-002	4.4479e-002	4.375e-002	
2	2.	3.7758e-002	3.9591e-002	3.8943e-002	
3	3.	3.3096e-002	3.4703e-002	3.4135e-002	
4	4.	2.8435e-002	2.9816e-002	2.9327e-002	
5	5.	2.3773e-002	2.4928e-002	2.4519e-002	
6	6.	1.9112e-002	2.004e-002	1.9712e-002	
7	7.	1.445e-002	1.5152e-002	1.4904e-002	
8	8.	9.789e-003	1.0264e-002	1.0096e-002	
9	9.	5.1276e-003	5.3766e-003	5.2885e-003	
10	10.	4.6614e-004	4.8878e-004	4.8077e-004	
11	11.	4.1953e-003	4.399e-003	4.3269e-003	
12	12.	8.8567e-003	9.2868e-003	9.1347e-003	
13	13.	1.3518e-002	1.4175e-002	1.3942e-002	
14	14.	1.818e-002	1.9062e-002	1.875e-002	
15	15.	2.2841e-002	2.395e-002	2.3558e-002	
16	16.	2.7503e-002	2.8838e-002	2.8366e-002	
17	17.	3.2164e-002	3.3726e-002	3.3173e-002	
18	18.	3.6825e-002	3.8614e-002	3.7981e-002	
19	19.	4.1487e-002	4.3501e-002	4.2789e-002	
20	20.	4.6148e-002	4.8389e-002	4.7596e-002	
21	21.	5.081e-002	5.3277e-002	5.2404e-002	
