	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	2.7912e+005	5.7538e+007	2.1707e+007	
2	2.	2.4845e+005	5.1216e+007	1.9322e+007	
3	3.	2.1778e+005	4.4893e+007	1.6936e+007	
4	4.	1.8711e+005	3.857e+007	1.4551e+007	
5	5.	1.5643e+005	3.2247e+007	1.2166e+007	
6	6.	1.2576e+005	2.5924e+007	9.7802e+006	
7	7.	95086	1.9601e+007	7.3948e+006	
8	8.	64413	1.3278e+007	5.0094e+006	
9	9.	33740	6.9552e+006	2.624e+006	
10	10.	3067.3	6.3229e+005	2.3854e+005	
11	11.	-1.6978e+005	5.3411e+006	1.8395e+006	
12	12.	-3.5842e+005	1.1276e+007	3.8833e+006	
13	13.	-5.4706e+005	1.721e+007	5.9272e+006	
14	14.	-7.357e+005	2.3145e+007	7.9711e+006	
15	15.	-9.2435e+005	2.9079e+007	1.0015e+007	
16	16.	-1.113e+006	3.5014e+007	1.2059e+007	
17	17.	-1.3016e+006	4.0948e+007	1.4103e+007	
18	18.	-1.4903e+006	4.6883e+007	1.6147e+007	
19	19.	-1.6789e+006	5.2818e+007	1.819e+007	
20	20.	-1.8676e+006	5.8752e+007	2.0234e+007	
21	21.	-2.0562e+006	6.4687e+007	2.2278e+007	
